Observation id	Daniel_Dyad10_A2A							
								
Media file(s)								
								
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX020560.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX030560.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX050560.MP4							
								
Observation date	2023-05-11 14:30:57							
								
Description								
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
1395.880	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX020560.MP4	3356.390	29.97	Dominant	Foraging	Other		POINT
1417.420	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX020560.MP4	3356.390	29.97	Dominant	Foraging	Other		POINT
1484.087	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX030560.MP4	3356.390	29.97	Dominant	Foraging	Other		POINT
1597.502	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX030560.MP4	3356.390	29.97	Dominant	Chases Female	Aggressive		POINT
1597.752	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX030560.MP4	3356.390	29.97	Subordinate	Flee	Other		POINT
1633.837	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX030560.MP4	3356.390	29.97	Dominant	Foraging	Other		POINT
1787.087	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX030560.MP4	3356.390	29.97	Dominant	Foraging	Other		POINT
1813.339	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX030560.MP4	3356.390	29.97	Dominant	Foraging	Other		POINT
1981.412	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX030560.MP4	3356.390	29.97	Dominant	Chases Female	Aggressive		POINT
1991.339	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX030560.MP4	3356.390	29.97	Dominant	Foraging	Other		POINT
2040.339	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX030560.MP4	3356.390	29.97	Dominant	Foraging	Other		POINT
2064.965	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX030560.MP4	3356.390	29.97	Dominant	Chases Male	Aggressive		POINT
2064.965	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX030560.MP4	3356.390	29.97	Subordinate	Flee	Other		POINT
2074.477	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX030560.MP4	3356.390	29.97	Dominant	Chases Male	Aggressive		POINT
2074.477	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX030560.MP4	3356.390	29.97	Subordinate	Flee	Other		POINT
2088.343	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX030560.MP4	3356.390	29.97	Dominant	Foraging	Other		POINT
2184.049	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4	3356.390	29.97	Dominant	Foraging	Other		POINT
2200.618	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4	3356.390	29.97	Dominant	Bite	Aggressive		POINT
2201.359	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4	3356.390	29.97	Subordinate	Flee	Other		POINT
2206.053	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4	3356.390	29.97	Dominant	Foraging	Other		POINT
2238.049	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4	3356.390	29.97	Dominant	Foraging	Other		POINT
