Observation id	Daniel_Dyad10_A2C							
								
Media file(s)								
								
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH040574.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH050574.MP4							
								
Observation date	2023-05-22 15:41:00							
								
Description								
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
1296.449	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Subordinate	Chases Female	Aggressive		POINT
1300.657	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Subordinate	Bite	Aggressive		POINT
1308.066	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Dominant	Foraging	Other		POINT
1315.534	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Subordinate	Bite	Aggressive		POINT
1348.122	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Subordinate	Bite	Aggressive		POINT
1354.497	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Subordinate	Bite	Aggressive		POINT
1358.039	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Dominant	Chases Female	Aggressive		POINT
1365.540	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Subordinate	Chases Female	Aggressive		POINT
1366.769	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Dominant	Entry /Exit Pot	Reproductive		POINT
1379.262	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Dominant	Entry /Exit Pot	Reproductive		POINT
1436.672	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4	3401.830	59.94	Dominant	Chases Male	Aggressive		POINT
1436.672	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4	3401.830	59.94	Subordinate	Flee	Other		POINT
1440.350	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4	3401.830	59.94	Dominant	Bite	Aggressive		POINT
1440.923	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4	3401.830	59.94	Dominant	Chases Male	Aggressive		POINT
1440.923	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4	3401.830	59.94	Subordinate	Flee	Other		POINT
1443.048	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4	3401.830	59.94	Dominant	Chases Female	Aggressive		POINT
1460.050	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4	3401.830	59.94	Subordinate	Bite	Aggressive		POINT
1464.301	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4	3401.830	59.94	Dominant	Chases Male	Aggressive		POINT
1464.301	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4	3401.830	59.94	Subordinate	Flee	Other		POINT
1507.878	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4	3401.830	59.94	Dominant	Chases Male	Aggressive		POINT
1507.878	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4	3401.830	59.94	Subordinate	Flee	Other		POINT
1519.557	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4	3401.830	59.94	Subordinate	Bite	Aggressive		POINT
